wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
765.576,100.5637674,100.0143569,99.83802411,99.93076111,99.78607947
765.754,100.6050114,99.99157573,99.85633468,99.96608791,99.82964585
765.932,100.5218184,99.92318215,99.81234059,99.92275829,99.7628989
766.109,100.5365652,99.95939577,99.85913062,99.98589377,99.80646528
766.287,100.5403072,99.99752067,99.90649099,100.0440637,99.82154484
766.465,100.453046,99.91938666,99.81095481,99.93765282,99.7237751
766.643,100.3306926,99.86042865,99.71204066,99.833142,99.65917471
766.821,100.3977937,99.90147533,99.78913536,99.86524219,99.6911508
766.998,100.4720588,99.94741688,99.81958262,99.92783224,99.74163587
767.176,100.5313793,100.0485467,99.88077247,99.97639111,99.79556124
767.354,100.4822641,99.99173956,99.84365354,99.91629287,99.71750463
767.531,100.5096746,100.0266885,99.89600193,99.9700709,99.78298227
767.709,100.4192985,99.97714179,99.8592382,99.96268792,99.72283536
767.887,100.5024916,100.0390083,99.92122268,100.0480287,99.82214413
768.064,100.5161758,100.0354032,99.91003489,100.0143101,99.82808768
768.242,100.5438766,100.0310896,99.94683363,100.0596042,99.81608088
768.42,100.6731184,100.1275509,100.0601943,100.1808554,99.95118454
768.597,100.6767573,100.136001,100.0667726,100.1907764,99.95280786
768.775,100.6202613,100.098572,99.97172253,100.1581408,99.89199093
768.952,100.5955343,100.064394,99.91943246,100.1243681,99.82928094
769.13,100.6128258,100.0640147,99.89807579,100.114765,99.80487999
769.307,100.7004195,100.1255146,99.92313061,100.1724256,99.85009416
769.485,100.7181297,100.172,99.91720538,100.1263766,99.86198953
769.662,100.7810322,100.1912905,99.90248536,100.0695613,99.87390939
769.84,100.8054814,100.2051924,99.92106944,100.0218217,99.87177638
770.017,100.9070539,100.2456954,100.0203038,100.0848387,99.93287397
770.195,100.8443534,100.1633998,99.91429021,99.98904955,99.84145899
770.372,100.7993,100.1333583,99.91076966,99.97422729,99.834456
770.549,100.9077357,100.1713936,100.0097655,100.0614602,99.87241103
770.727,100.9741676,100.1798812,100.0756957,100.1168746,99.99116584
770.904,100.9740329,100.1874833,100.1379887,100.137244,99.99653459
771.081,100.9076641,100.1388095,100.1452658,100.1306601,100.01281
771.259,100.9107916,100.1882042,100.1942479,100.1970063,100.0509723
771.436,100.890078,100.1563541,100.1589775,100.1684266,99.97951573
771.613,100.9351377,100.2026874,100.2209503,100.2641797,100.0123582
771.79,100.977255,100.2311093,100.2623235,100.2968615,100.0292167
771.968,100.8894362,100.17902,100.1370272,100.1923788,99.90355408
772.145,100.9309496,100.2228107,100.1595336,100.2022717,99.96144304
772.322,100.9059532,100.1764899,100.1227349,100.1317431,99.94525456
772.499,100.8531698,100.1567576,100.1044126,100.0988156,99.94904891
772.676,100.8566234,100.1540629,100.0308618,100.0283153,99.90397061
772.853,100.9196985,100.1517725,100.0527046,100.072436,99.91739145
773.03,100.9371561,100.1519996,100.0237857,100.0488479,99.87728989
773.207,100.8432654,100.057005,99.90228339,99.91830351,99.76375436
773.385,100.9296975,100.1253861,100.0490182,100.0310607,99.8966761
773.562,100.9370467,100.1255257,100.0654791,99.98634823,99.8754484
773.739,100.9024512,100.0497697,99.96462307,99.87821856,99.78208055
773.916,100.8715113,99.98572719,99.92800194,99.8288606,99.76380329
