wavelength,Sym_1,Sym_2,Sym_3,Sym_4,Sym_5
199.093,60.63530204,58.01629997,61.04198995,57.61454144,59.1540977
199.313,59.61397599,56.66342948,60.8976424,57.67969282,58.95307167
199.534,60.69735343,58.30924037,62.33397829,59.39005514,59.32781762
199.754,61.30060928,58.59654475,62.1034969,58.12744036,58.91137559
199.975,62.53859367,59.89364956,63.20992417,60.56972712,60.7651985
200.195,64.79015076,62.22578795,64.86486203,62.26159576,62.6935354
200.415,65.28561763,63.32576316,66.60142562,63.7193023,63.38402958
200.636,65.38724342,62.70405427,66.6618493,63.90354989,63.91335934
200.856,66.63240907,64.00194941,69.38452648,63.62933754,64.08100947
201.077,68.85292778,66.65615481,71.91291073,64.24903888,66.24682946
201.297,68.86010975,65.45676676,71.43235807,63.42152289,64.14851553
201.518,68.29745889,65.27322159,70.21560531,63.06044809,63.82680611
201.738,68.77948188,66.22587476,70.38860132,62.98919124,64.99179323
201.958,68.95215484,64.16813203,69.56386085,63.31294998,64.69905429
202.179,67.72895624,63.91669573,69.9124835,64.19358192,63.5105753
202.399,67.56800017,62.89779504,69.15167885,63.00428446,61.87251504
202.619,66.99652865,62.35812797,68.94827937,61.35344543,59.90910906
202.84,66.56757348,61.84379147,67.38698059,60.94936638,60.58702062
203.06,65.6103117,61.53380159,67.1693239,60.03930197,59.64844929
203.28,64.93892894,60.53957672,65.98632695,61.29280909,60.26383063
203.501,62.50480859,59.0958119,63.16576306,60.12290393,58.36430949
203.721,61.54745961,58.15201424,62.48257673,58.34204332,59.16988373
203.941,59.35863716,55.99824556,62.17012914,57.29268645,56.63707681
204.161,60.14859367,56.47937895,62.06690402,56.97435341,56.06234314
204.382,60.0907052,57.52838647,61.89784203,56.71582464,55.54757275
204.602,61.020619,57.62153854,61.91549498,57.26198029,56.59729251
204.822,58.30817453,56.21739709,60.76022909,56.25774593,54.48681139
205.042,57.68128632,54.51912579,59.074255,56.36630168,54.60249397
205.262,57.99723457,54.42863793,59.92059284,56.57193902,55.7563054
205.483,60.44049983,55.97032214,62.03581674,59.73549518,57.91321615
205.703,60.5500277,56.95164421,62.83571376,59.71287149,59.21920789
205.923,62.74185652,57.5454318,63.60991958,60.22774997,59.96807455
206.143,62.39990276,57.65361211,62.91462437,62.01676486,59.15640222
206.363,63.55672626,58.93208832,63.12190012,62.58149969,61.22344698
206.583,63.1411532,56.9723656,61.9786581,62.24384991,61.25804687
206.803,63.49947047,56.41066694,61.30388464,61.4203987,61.7598526
207.024,62.43059317,55.50267252,61.12238289,60.5961269,59.5127687
207.244,64.17253067,57.03955144,62.56388329,62.39688499,63.71425711
207.464,64.5034378,57.85081999,63.90613775,62.91472587,64.5148952
207.684,65.23541871,58.29769522,63.95785922,63.42698536,63.91604932
207.904,64.3765271,57.30600843,62.67416487,60.97823586,61.68354256
208.124,64.90637447,56.98804907,62.72942696,61.75548889,61.01408502
208.344,64.59558324,58.2940915,64.19890921,62.28972595,61.79269328
208.564,64.3432644,58.10399823,64.82594286,62.38752797,62.50766693
208.784,63.37577624,56.2714552,63.32142554,61.67027991,62.23407288
209.004,64.75817863,59.35528232,65.2914419,64.35011112,63.65049491
209.224,62.32476705,58.15004199,64.39077498,63.52583593,62.02239377
209.444,60.79616988,56.70279221,62.15426675,60.62934435,60.79107945
209.664,60.36971217,56.54673038,61.91546605,59.65909549,59.44709163
209.884,62.3660066,58.17712276,63.47389143,61.57164018,60.70744032
210.104,61.52249683,58.0133516,63.38512388,61.42508025,59.73726425
210.324,60.37389928,57.40197745,62.35702466,59.6130636,58.29182552
210.544,60.27410076,57.3295098,62.07318311,58.43332278,57.23923525
210.764,59.17918023,54.79018148,60.4656041,58.00770323,56.06162705
210.984,59.95341923,55.87041071,61.20219063,57.9725443,56.83466088
211.203,60.08462905,57.73848578,61.67232849,58.50487391,55.88859784
211.423,60.21195027,57.5027904,62.68541984,57.93992899,56.66993338
211.643,61.50912779,58.75474795,64.61271324,58.93534339,59.69145943
211.863,63.67997114,60.7089604,67.01918818,62.12473916,62.16989616
212.083,65.23862462,61.64752831,68.26021558,62.64498526,63.01302655
212.303,64.5144593,60.39673151,66.81645945,61.47465737,61.92456279
212.522,64.04219024,59.9981987,66.70272437,60.72795277,62.0514469
212.742,64.32911332,61.14410257,67.59285858,63.50721094,65.06133552
212.962,64.1790167,61.29090272,67.80106152,63.48542735,65.02938424
213.182,65.82825052,62.87106536,68.59594034,64.46533515,65.49367622
213.402,66.06958552,62.63989178,68.32099087,64.37673196,65.94354531
213.621,67.91390728,63.38476126,69.4025394,65.33911953,67.49569041
213.841,67.24208919,62.10849736,67.61639263,64.24692351,65.6128442
214.061,66.49649038,61.25826445,65.94919939,63.93184734,62.94663481
214.281,66.53571634,61.3434933,64.73803858,63.29188075,62.63496062
214.5,66.25894544,60.82871058,64.7672293,63.45156479,62.63300671
214.72,65.32124087,60.9992894,64.67358686,62.70473801,62.87882559
214.94,66.12351117,61.49068148,65.19705084,62.94631355,64.0034341
215.159,66.52088107,61.6499833,65.61728978,62.01736537,63.36252536
215.379,66.80046029,61.01956134,64.51076094,62.17881159,64.49965123
215.599,65.08306183,59.51459555,64.03452485,61.20446027,63.46869433
215.818,66.01665336,59.29725772,65.3130383,60.76688869,62.16437657
216.038,65.68455273,59.59318608,65.26110545,60.8218886,62.34376605
216.258,65.83792946,60.91920499,65.65731791,61.3753867,63.53831537
216.477,67.09808077,62.5327137,68.0713376,62.91515249,65.81898507
216.697,67.38458135,62.60114363,68.89906144,63.33403042,66.22213924
216.916,68.12358218,63.4013087,68.53442905,64.24891625,66.17287607
217.136,68.11544376,64.41492992,69.33824466,63.87856854,66.43272108
217.355,68.72097271,64.82470696,69.202592,64.4784693,65.56855317
217.575,68.23160656,63.86207241,68.87938814,64.72301136,64.94822512
217.795,69.27784521,64.58232133,70.68527683,65.84088136,64.97135941
218.014,68.65395146,63.28323657,68.44831135,63.92559739,65.18972821
218.234,67.76751343,62.03166497,66.97976476,63.70855721,64.14058242
218.453,66.61784748,60.72767873,66.73090147,62.71511902,63.89006759
218.673,65.48653309,59.89499557,66.5610481,61.7797763,62.55091428
218.892,65.80325126,59.02082461,66.38855175,61.4632188,61.67134544
219.112,64.37857826,57.74751876,65.64533382,60.41515011,59.64420464
219.331,62.49176247,56.16103781,63.92884709,58.0514653,59.0933344
219.55,61.25883498,54.8737612,63.58568004,57.01415307,57.51749057
219.77,60.54866073,54.29872731,63.6967524,57.03299445,57.25003277
219.989,59.60368659,53.90806776,62.69540492,54.8052229,56.69387351
220.209,58.11513588,53.76305378,62.01390402,53.56303395,56.89989064
220.428,58.1078667,55.01549585,63.3184069,54.29380644,56.84900876
220.648,59.18185053,56.80617596,64.46211464,55.94721128,59.62471262
220.867,60.84007989,58.00322284,65.31049349,57.82240284,61.42720186
221.086,62.66249613,58.44463205,65.60511953,59.07682176,62.47810729
221.306,60.63317541,58.54152302,64.27500551,57.97522925,62.64881591
221.525,61.05785564,58.82090905,64.44613178,57.9487351,63.49658382
221.744,61.21490979,58.31122651,64.05973322,58.35046448,63.08555949
221.964,61.700648,57.76496551,63.6226575,59.38907583,62.99168578
222.183,61.14807471,57.18274818,64.34156966,58.54838908,63.17987208
222.402,62.37718803,57.93723725,64.86164205,59.88419144,63.4639629
222.621,64.02376235,58.53666917,64.9243003,60.55230674,63.90167882
222.841,63.49749352,57.77503772,64.22786624,59.75906095,62.26270716
223.06,61.26160478,56.30493852,62.91792997,57.29444765,59.02830284
223.279,59.71548811,55.04658223,61.79486798,54.76670674,56.10050456
223.498,59.11553743,54.21298338,61.03419578,53.51906909,54.77923967
223.718,60.0862686,53.03813012,60.40639192,53.8823517,53.88762378
223.937,61.14561647,54.86788984,61.37956645,55.46696938,55.61601708
224.156,61.43593129,56.14192923,62.86377436,56.86852735,56.49413947
224.375,62.92163637,57.84032513,62.93722107,57.76924458,57.47806769
224.594,63.71443806,58.71197498,61.66692816,58.44701414,57.55718392
224.814,63.89522485,59.23886967,61.38223614,58.41180996,57.37720488
225.033,62.4995152,59.62155897,61.27204821,57.33223558,56.10959188
225.252,62.95091049,60.52084616,61.90474734,58.98996476,57.48861994
225.471,64.76206888,62.3124666,63.40038201,61.98794102,60.99735863
225.69,65.32547698,62.86795583,62.85637529,63.18258926,62.30226389
225.909,63.43828841,61.73175932,61.62161588,62.43826032,60.98626184
226.128,64.97158229,62.73779154,62.67457397,62.02924759,61.34009338
226.347,64.34499225,61.33870554,61.39308245,60.75123248,59.70839516
226.567,62.97876784,60.03485904,60.46170843,58.14848652,57.41710971
226.786,62.1252191,58.6711918,59.38939627,56.40035328,57.30734178
227.005,62.01313201,59.81568046,61.08355058,57.72482557,59.2817882
227.224,60.72627911,58.6888341,61.04897331,57.2412029,58.95980407
227.443,61.40711811,57.37654582,61.43326596,58.4233082,59.65916594
227.662,60.93333272,56.48048395,60.09786778,56.00348931,58.10672723
227.881,59.66654672,55.71954407,57.81634559,53.34161148,56.511853
228.1,59.42961097,54.72910195,58.1298845,53.17637723,56.23577883
228.319,60.60374215,56.28861209,60.57971838,54.83159386,59.27567922
228.538,59.38823498,56.06075073,60.62235411,55.33910703,59.36065201
228.757,58.51086717,55.84361771,60.51224405,55.15391374,59.24148094
228.976,61.03830133,57.73900829,61.78790456,57.91167894,62.20468153
229.195,60.14164937,57.73499662,63.44186443,60.01002739,62.35822582
229.413,59.47748506,55.78481654,61.65339719,58.71144523,60.82256102
229.632,60.40196917,55.49540139,61.25087318,58.50510905,60.57753394
229.851,61.21573246,56.7479545,61.33361887,59.21658934,60.98221826
230.07,61.32542184,56.97131139,62.3845058,60.33084581,61.47983975
230.289,62.75786055,57.13044705,64.37941375,62.18047908,63.08221435
230.508,62.30332167,57.30416848,63.56264883,61.40354411,62.15464785
230.727,62.09137335,57.58664707,62.5340765,61.58360473,62.09609249
230.946,63.39540993,58.29590271,63.54939881,62.71373061,63.68958232
231.164,64.19100781,58.71837837,64.47766044,63.23938169,64.38137549
231.383,62.76402312,56.85377014,63.2112744,61.72241741,62.37386971
231.602,64.20016484,57.73891792,62.80102625,60.98979045,62.2933374
231.821,64.12496768,57.31595868,62.44042586,60.86398067,60.61471334
232.04,63.8030935,58.29525952,63.17830398,62.2059627,61.88245784
232.258,62.41257688,57.71858036,62.85351433,60.74984617,62.06902161
232.477,64.36718445,58.53520169,63.86423231,62.33722217,65.47973569
232.696,63.73993543,58.66512936,63.68270393,61.69006375,64.79951315
232.915,63.12075085,58.63938247,64.06316688,62.45214731,65.02983991
233.133,64.43698825,58.53449521,64.41504495,62.35896272,65.30464561
233.352,62.78345593,57.05857086,62.72335908,61.23923936,63.59187725
233.571,63.09002279,57.58750349,62.84734794,61.70704711,65.23552816
233.789,63.17107276,58.49570569,63.18213015,62.10111467,66.21174249
234.008,62.9411567,58.12927656,63.73472144,61.82017287,66.0262813
234.227,62.71966487,58.24449358,63.55758883,61.10153862,66.19564913
234.445,62.00409717,58.39510859,63.42540405,60.40130457,66.12534665
234.664,62.41404234,58.51463397,64.72736362,62.31002337,66.28229284
234.883,61.38196854,58.88804822,64.58675273,62.56514853,64.69176236
235.101,61.64535812,57.75630556,63.83014015,63.20171246,63.64504131
235.32,63.42954094,57.45848086,64.27646828,63.65696825,64.05367276
235.538,62.23350455,56.72591368,64.00032555,62.58885963,62.67691297
235.757,62.05455693,57.69501634,63.83194463,61.964853,62.21740668
235.976,61.06679083,56.69320829,63.74821592,61.71041586,60.47240089
236.194,61.87061363,56.61916508,64.61771549,61.65930721,61.04008422
236.413,61.11541032,55.97782698,64.05584109,61.00697346,61.85617743
236.631,60.91745214,55.95289421,63.78881021,60.96624099,62.22198434
236.85,61.54962138,54.90249295,62.92993877,59.86040592,61.34758484
237.068,61.54339596,55.58051999,62.44922472,59.70216966,61.23691265
237.287,61.96034804,54.64034426,62.76629103,59.59988525,61.06825312
237.505,61.34891674,54.43009171,62.34882935,58.32622117,60.49048804
237.724,60.37291808,54.99144068,62.07944951,57.06899141,60.11639652
237.942,60.60832575,54.95534478,62.50571825,58.10574451,61.09145293
238.161,61.58427493,54.7992588,63.11572323,58.53723934,62.7334478
238.379,62.31235447,55.13211135,62.87714502,57.90511109,62.48090799
238.597,61.63546726,54.55335819,61.82681102,56.76000335,60.7781202
238.816,62.48169775,54.31599603,62.65052058,57.68960739,60.42523472
239.034,62.75328798,53.97545835,63.22325566,57.62380927,61.2869813
239.253,62.85219282,53.74887365,63.94058442,57.68611469,61.17601287
239.471,63.28754666,53.35369611,63.71153863,57.42476782,62.39965596
239.689,63.13669242,53.42634893,62.96880378,56.3257991,62.39164857
239.908,61.81362008,53.69757239,63.6556631,55.55218484,62.09073825
240.126,61.95397481,52.875822,63.19878621,55.48705211,61.17200567
240.344,62.77405003,54.33325758,64.27897154,56.23709427,61.37641684
240.563,64.80820361,56.69646563,65.7389676,58.40004479,63.21863339
240.781,64.14811469,56.14793758,65.53715821,58.3503445,62.49301257
240.999,64.79523146,56.63244205,66.41595067,58.0223363,63.24748056
241.218,62.61212482,56.57211961,64.67427065,56.58858492,62.24203181
241.436,62.44122865,57.5169756,65.1870139,56.53719117,61.18191568
241.654,63.36263133,59.62468637,66.59038784,57.97933716,62.38043174
241.872,63.65843831,59.20778049,66.0737872,57.26883084,60.40964646
242.091,63.53320474,60.1632642,65.83832906,57.91371763,59.9474169
242.309,64.99442025,60.82223169,66.60204036,59.27589158,60.9534278
242.527,65.32024644,61.00720313,67.29206252,59.81461901,62.96252098
242.745,64.29208663,60.40833601,67.29288001,58.73988221,61.9634837
242.963,62.99864812,58.42281265,66.3350825,56.98901413,60.11927202
243.182,63.36502991,58.85841235,65.69891047,57.4493634,61.37831989
243.4,62.6823901,59.76500181,65.81816412,59.77390212,61.20817452
