genes,signedlogP
evm.TU.Ap1.1102,NA
evm.TU.Ap1.1103,-1.25395643819445
evm.TU.Ap1.1104,-0.502268743394101
evm.TU.Ap1.1105,-0.509279815215607
evm.TU.Ap1.1106,NA
evm.TU.Ap1.1107,NA
evm.TU.Ap1.1108,0.386640051251072
evm.TU.Ap1.1109,1.82066858631659
evm.TU.Ap1.111,NA
evm.TU.Ap1.1110,-0.413987789461063
evm.TU.Ap1.1111,1.75628739098726
evm.TU.Ap1.1112,-0.665899720012798
evm.TU.Ap1.1113,15.5661089526119
evm.TU.Ap1.1114,1.15191649286762
evm.TU.Ap1.1115,-0.0460593531111073
evm.TU.Ap1.1116,-1.02171010628757
evm.TU.Ap1.1117,-0.508402203628588
evm.TU.Ap1.1118,0.521533115306555
evm.TU.Ap1.1119,1.22858438715206
evm.TU.Ap1.112,NA
evm.TU.Ap1.1120,-0.0567405948287805
evm.TU.Ap1.1121,0.654192861623393
evm.TU.Ap1.1122,0.0749347052149151
evm.TU.Ap1.1123,2.71479476229682
evm.TU.Ap1.1124,-2.96504758899511
evm.TU.Ap1.1125,NA
evm.TU.Ap1.1126,NA
evm.TU.Ap1.1127,NA
evm.TU.Ap1.1128,0.00243668213492469
evm.TU.Ap1.1129,NA
evm.TU.Ap1.113,NA
evm.TU.Ap1.1130,NA
evm.TU.Ap1.1131,NA
evm.TU.Ap1.1132,0.986877907964428
evm.TU.Ap1.1133,-0.056485315209517
evm.TU.Ap1.1134,-0.237618003126004
evm.TU.Ap1.1135,-0.264514208763755
evm.TU.Ap1.1136,0.0130937556266312
evm.TU.Ap1.1137,NA
evm.TU.Ap1.1138,NA
evm.TU.Ap1.1139,NA
evm.TU.Ap1.114,6.63745798264066
evm.TU.Ap1.1140,NA
evm.TU.Ap1.1141,-0.361687719525538
evm.TU.Ap1.1142,-0.637813589395922
evm.TU.Ap1.1143,-21.314567960035
evm.TU.Ap1.1144,-7.13826007576556
evm.TU.Ap1.1145,0.982721470636939
evm.TU.Ap1.1146,NA
evm.TU.Ap1.1147,0.0317705911641326
evm.TU.Ap1.1148,0.10305083879022
evm.TU.Ap1.1149,NA
evm.TU.Ap1.115,0.046001015774404
evm.TU.Ap1.1150,NA
evm.TU.Ap1.1151,NA
evm.TU.Ap1.1152,NA
evm.TU.Ap1.1153,-0.0876137849724359
evm.TU.Ap1.1154,0.068516962863084
evm.TU.Ap1.1155,-2.28051323529599
evm.TU.Ap1.1156,-0.0360698541410967
evm.TU.Ap1.1157,0.558824510307075
evm.TU.Ap1.1158,-5.62961287926876
evm.TU.Ap1.1159,-0.0187596082131814
evm.TU.Ap1.116,4.1408420311837
evm.TU.Ap1.1160,-4.01120948969306
evm.TU.Ap1.1161,10.3349106013315
evm.TU.Ap1.1162,2.39673018255185
evm.TU.Ap1.1163,-0.63912497543767
evm.TU.Ap1.1164,-0.614292784085682
evm.TU.Ap1.1165,0.737234023036404
evm.TU.Ap1.1166,0.120013870239569
evm.TU.Ap1.1167,0.308242420112263
evm.TU.Ap1.1168,0.739592810835826
evm.TU.Ap1.1169,1.46217882347182
evm.TU.Ap1.117,0.00919260040287886
evm.TU.Ap1.1170,1.27567355914127
evm.TU.Ap1.1171,0.0614629766544223
evm.TU.Ap1.1172,4.11636438064684
evm.TU.Ap1.1173,0.203560918075077
evm.TU.Ap1.1174,-0.686642724683883
evm.TU.Ap1.1175,-0.0360698956929071
evm.TU.Ap1.1176,0.56931984709164
evm.TU.Ap1.1177,-2.5056132939924
evm.TU.Ap1.1178,0.031771046379301
evm.TU.Ap1.1179,NA
evm.TU.Ap1.118,NA
evm.TU.Ap1.1180,NA
evm.TU.Ap1.1181,NA
evm.TU.Ap1.1182,NA
evm.TU.Ap1.1183,NA
evm.TU.Ap1.1184,NA
evm.TU.Ap1.1185,-0.401163364392715
evm.TU.Ap1.1186,NA
evm.TU.Ap1.1187,NA
evm.TU.Ap1.1188_evm.TU.Ap1.1190,-2.58855120394788
evm.TU.Ap1.1189,NA
evm.TU.Ap1.119,0.0317715015946666
evm.TU.Ap1.1191,-1.0903271205207
evm.TU.Ap1.1192,0.450150581380809
evm.TU.Ap1.1193,-0.00133886904553622
evm.TU.Ap1.1194,6.091265239446
evm.TU.Ap1.1195,-1.41740054707687
evm.TU.Ap1.1196,-0.0360707395281426
evm.TU.Ap1.1197,NA
evm.TU.Ap1.1198,0.373202676346793
evm.TU.Ap1.1199,-0.543335905754662
evm.TU.Ap1.12,0.130833990413081
evm.TU.Ap1.120,0.924708718729895
evm.TU.Ap1.1200,NA
evm.TU.Ap1.1201,NA
evm.TU.Ap1.1202,-0.00092868445389366
